Title,Accession Number,Title2,Museum Name,Gallery Name,Object Type,Main Material,Medium,Manufacturing Technique,Main Artist,Artist's Nationality,Artist's Life Date / Bio Data,Author,Country,Provenance,Origin Place,Find Place,Scribe,Style,School,Patron/Dynasty,Period / Year of Work,Inscription,Mint,Weight,Brief Description,Detailed Description,Coin Description Obverse,Coin Description Reverse,Denomination,Dimensions,Component Material II,Tribe,Costume,Culture,Component Material III
Ragini,AM-MIN-263,Ragini,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Paintings,Paper,,Water Colour,Not Known,Indian,C.late18th century CE,NA,India,"Shorapur, Yadgir ,Karanatka","Shorapur, Yadgir ,Karnataka","Shorapur, Yadgir ,Karnataka",NA,Deccani,Deccani,NA,C.late 18th century  CE,NA,,,Picture shows a lady seated on a chauki holding a lotus flower in one of her hands. Another lady is seen standing in front holding some green object. Ragini.,Picture shows a lady seated on a chauki holding a lotus flower in one of her hands. Another lady is seen standing in front holding some green object. Ragini.,,,,24.13 x 17.145 cm,,NA,Ladies in Ghanghra-choli & odhni.,NA,
Amorous Couple,AM-MIN-264,Amorous Couple,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.Late18th Century CE,NA,India,"Shorapur, Yadgir, Karanatka",Rajasthan,Rajasthan,NA,Deccani,Deccani,NA,C.Late 18th Century  CE,NA,,,Painting shows an amorous couple seated in the courtyard of a house.,"Painting shows an amorous couple seated in the courtyard of a house 
near a pond. Full moon is shown in the sky showing the night scene. 
Four attendants, two in front and two at the back side are busy in 
talking with each other.",,,,24.13 x 17.145 cm,,NA,"Man wearing gherdar jama-pajama, kamarbandh and pagree . Ladies wearing ghangra, chowli & odhni",NA,
Raja making offerings,AM-MIN-265,Raja making offerings,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Paintings,Paper,,Water Colour,Not Known,Indian,C.late18th century CE,NA,India,"Shorapur, Yadgir ,Karanatka","Shorapur, Yadgir ,Karnataka","Shorapur, Yadgir ,Karnataka",NA,Deccani,Deccani,NA,C.late 18th century  CE,NA,,,Painting shows a Raja seated on a throne and offering an object to a lady standing in front. At the back side female attendant stands holding a flywhisk made of peacock feather.,Painting shows a Raja seated on a throne and offering an object to a lady standing in front. At the back side female attendant stands holding a flywhisk made of peacock feather.,,,,24.13 x 17.145 cm,,NA,"Men in Jama-pajama,bagalbandi & pagree. Ladies in saree & odhani.",NA,
Manini Nayeka,AM-MIN-266,Manini Nayeka,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Paintings,Paper,,Water Colour,Not Known,Indian,C.late18th century CE,NA,India,"Shorapur, Yadgir ,Karanatka","Shorapur, Yadgir ,Karnataka","Shorapur, Yadgir ,Karnataka",NA,Deccani,Deccani,NA,C.late 18th century  CE,NA,,,Painting shows a lady seated on a couch turning her face to right. A man is seen touching her feet. On the right side a female attendant stands holding a garland in her hands. On the left another lady holds one of the hands of the seated lady with one hand and touches the back of the male with the other one. The scene depicts ?Manini Nayeka? .,Painting shows a lady seated on a couch turning her face to right. A man is seen touching her feet. On the right side a female attendant stands holding a garland in her hands. On the left another lady holds one of the hands of the seated lady with one hand and touches the back of the male with the other one. The scene depicts ?Manini Nayeka? .,,,,24.13 x 17.145 cm,,NA,"Men in Jama-pajama,bagalbandi & pagree. Ladies in saree & odhani.",NA,
Rag Hindola,AM-MIN-267,Rag Hindola,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Paintings,Paper,,Water Colour,Not Known,Indian,C.late18th century CE,NA,India,"Shorapur, Yadgir ,Karanatka","Shorapur, Yadgir ,Karnataka","Shorapur, Yadgir ,Karnataka",NA,Deccani,Deccani,NA,C.late 18th century  CE,NA,,,Painting shows a couple seated on a swing. One either of the sides of the swing there stands two female attendants. Rag Hindola.,Painting shows a couple seated on a swing. One either of the sides of the swing there stands two female attendants. Rag Hindola.,,,,23.495 x 17.145 cm,,NA,"Men in Jama-pajama,bagalbandi & pagree. Ladies in ghanghara,choli & odhani.",NA,
Brahma?,AM-MIN-268,Brahma?,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Paintings,Paper,,Water Colour,Not Known,Indian,C.late18th century CE,NA,India,"Shorapur, Yadgir ,Karanatka","Shorapur, Yadgir ,Karnataka","Shorapur, Yadgir ,Karnataka",NA,Deccani,Deccani,NA,C.late 18th century  CE,NA,,,Picture shows four headed and four armed figure (Brahma?) seated on a chauki. In front of him is seen a lady seated with folded hands and another lady stands behind her holding a garland in one of her hands.,Picture shows four headed and four armed figure (Brahma?) seated on a chauki. In front of him is seen a lady seated with folded hands and another lady stands behind her holding a garland in one of her hands.,,,,23.495 x 17.145 cm,,NA,"Brahma- in Dhoti,mukut & angvastra . Ladies in ghanghra-chowli & odhni",NA,
Megh Malhar Raga,AM-MIN-269,Megh Malhar Raga,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Paintings,Paper,,Water Colour,Not Known,Indian,C.late18th century CE,NA,India,"Shorapur, Yadgir ,Karanatka","Shorapur, Yadgir ,Karnataka","Shorapur, Yadgir ,Karnataka",NA,Deccani,Deccani,NA,C.late 18th century  CE,NA,,,Painting shows a lady seated inside a pavilion. In front of her there is seen seated a lady holding a sitar. Below a deer is seen seated on the right. Megh Malhar Raga.,Painting shows a lady seated inside a pavilion. In front of her there is seen seated a lady holding a sitar. Below a deer is seen seated on the right. Megh Malhar Raga.,,,,23.495 x 17.145 cm,,NA,Ladies in Ghanghra-choli & odhni.,NA,
Chained Elephant,AM-MIN-27,Chained Elephant,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,Paper,Water Colour,Not Known,Indian,C.18th century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Mughal,Mughal,NA,C.18th century  CE,NA,,,"Picture shows a chained elephant being teased by people on the border.  The script reads ""Hanthi Dilli ki kalam se"".",Picture shows a chained elephant being teased by people on the border.  The script reads ?Hanthi Dilli ki kalam se?.,,,,20.32 x 17.78 cm,,NA,NA,NA,
Shri Raga,AM-MIN-270,Shri Raga,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,Paper,Water Colour,Not Known,Indian,C.late18th century CE,NA,India,"Shorapur, Yadgir ,Karanatka","Shorapur, Yadgir ,Karnataka","Shorapur, Yadgir ,Karnataka",NA,Deccani,Deccani,NA,C.late 18th century  CE,NA,,,Picture shows a Raja seated and hearing vina played on by a lady in front. An animal faced figure is seated on one side of the lady playing on the Vina. Behind the Raja there are seen two male attendants. Shri Raga.,Picture shows a Raja seated and hearing vina played on by a lady in front. An animal faced figure is seated on one side of the lady playing on the Vina. Behind the Raja there are seen two male attendants. Shri Raga.,,,,23.495 x 17.145 cm,,NA,"Men in Jama-pajama,bagalbandi & pagree. Ladies inGhanghara-choli  & odhani.",NA,
Lady sitting,AM-MIN-271,Lady sitting,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,Paper,Water Colour,Not Known,Indian,C.late18th century CE,NA,India,"Shorapur, Yadgir ,Karanatka","Shorapur, Yadgir ,Karnataka","Shorapur, Yadgir ,Karnataka",NA,Deccani,Deccani,NA,C.late 18th century  CE,NA,,,Picture shows a lady seated on a carpet holding her garland with her hands. Another lady in front holds a lamp stand.,Picture shows a lady seated on a carpet holding her garland with her hands. Another lady in front holds a lamp stand.,,,,23.495 x 17.145 cm,,NA,Ladies in Ghanghra-choli & odhni.,NA,
Dice game,AM-MIN-28,Dice game,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,Paper,Water Colour,Not Known,Indian,C.18th century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthani,NA,C.18th century  CE,NA,,,Picture shows on the left a Raja seated and playing dice with two ladies seated in front. Behind the king stands a lady attendant holding a flywhisk made of peacock feathers while two stand behind the seated ladies. One of the man holding a garland of white flowers.,Picture shows on the left a Raja seated and playing dice with two ladies seated in front. Behind the king stands a lady attendant holding a flywhisk made of peacock feathers while two stand behind the seated ladies. One of the man holding a garland of white flowers.,,,,350.52 x 246.38 cm,,NA,Man in bagalbandi & pagree. Ladies in ghanghara choli & odhani.,NA,
Lady seated on the River Bank,AM-MIN-29,Lady seated on the River Bank,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.Late 18th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Mughal,Mughal,NA,C.Late 18th Century CE,NA,,,"Picture shows a lady seated on the bank of a river to take bath. A 
prince is seen on a white horse proceeding towards the 
lady.","Picture shows a lady seated on the bank of a river to take bath. 
She has put off her clothes and tied them in a tree standing 
nearby. A blue horse is seen standing near the tree. From the 
right a prince is seen on a white horse proceeding towards the 
lady. On the top right corner a group of five persons is seen near 
a grove of trees.",,,,11.43 x 83.82 cm,,NA,"Man in bagalbandi, kamarband and mukut.",NA,
Lady Resting on a Coach,AM-MIN-3,Lady Resting on a Coach,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,"C.19th Century CE, 1810 CE",NA,India,"Jodhpur, Rajasthan","Jodhpur, Rajasthan","Jodhpur, Rajasthan",NA,Rajasthani,Rajasthani,NA,"C.19th Century CE, 1810",Painting is illustrated in Devanagari script.,,,Picture shows a lady resting on a couch and talking to an attendant.,"Picture shows a lady resting on a couch and talking to an attendant 
having folded hands seated on the ground. Full moon in dark sky 
exposing night scene. The palace building is shown artistically.",,,,22.225 x 13.97 cm,,NA,"Ladies in ghanghara, choli and odhani.",NA,
Samudra Manthan  (Churning of Ocean),AM-MIN-30,Samudra Manthan  (Churning of Ocean),"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not known,Indian,C.18th Century CE,NA,India,"Kangra, Himachal Pradesh","Kangra, Himachal Pradesh","Kangra, Himachal Pradesh",NA,Kangra,Kangra,NA,C.18th Century CE,NA,,,"Picture depicts the puranic story of Churning of Ocean by 
Asuras and Devas.","Picture depicts the puranic story of Churning of Ocean by 
Asuras and Devas. Brahma, Vishnu and Mahesh are seen on one 
side and Rakshashas on the other. Because of the churning 
process 14 gems (Ratna) are told to have come out of the ocean. 
Among them, Cow (Kamdhenu) Elephant (Iravath) Rambha, Bow 
(Dhanu) Nectar (Amrit), Poison, Wine, Lakshmi, and Horse 
(Ghoda) etc. are shown above.",,,,11.43 x 7.36 cm,,NA,"Mostly the person wearing dhoti, uttariya and mukut. Ladies in chonga and Dupatta.",NA,
Seated Maulavi,AM-MIN-31,Seated Maulavi,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Paintings,Paper,,Water Colour,Not Known,Indian,C.late18th century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Mughal,Mughal,NA,C.late 18th century  CE,NA,,,Painting shows a bearded Maulavi seated beside a lake holding a rosary in his hands. Four seated ladies are engaged in writing work before him. Two ladies stand on either of his sides.,Painting shows a bearded Maulavi seated beside a lake holding a rosary in his hands. Four seated ladies are engaged in writing work before him. Two ladies stand on either of his sides.,,,,20.955 x 13.97 cm,,NA,Ladies wearing lehanga & odhni.,NA,
Seated Lady,AM-MIN-32,Seated Lady,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,Paper,Water Colour,Not Known,Indian,C.18th century CE,NA,India,"Bundi ,Rajasthan","Bundi,Rajasthan","Bundi,Rajasthan",NA,Rajasthani,Rajasthan,NA,C.18th century  CE,NA,,,"Picture shows a lady seated inside a pavilion raised in the centre of a pond consisting of flowers, geese and fountains.","Picture shows a lady seated inside a pavilion raised in the centre of a pond consisting of flowers, geese and fountains.",,,,19.05 x 13.97 cm,,NA,Lehanga & odhani.,NA,
Radha and Krishna,AM-MIN-33,Radha and Krishna,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not known,Indian,C.18th Century CE,NA,India,"Kangra,  Himachal Pradesh","Kangra, Himachal Pradesh","Kangra, Himachal Pradesh",NA,Kangra,Kangra,NA,C.18th Century CE,NA,,,Painting depicts the conversation between Radha and Krishna.,"Picture shows Radha and Krishna are standing on the bank of river 
Kalindi (Yamuna). Radha holding the scarf of Krishna and Krishna is 
holding lotus in his right hand. A grove of blossomed trees are seen 
on the background.",,,,19.04 x 13.97 cm,,NA,"Krishna wearing dhoti, uttariya  and mukut. Lady in lehanga.",NA,
Krishna,AM-MIN-34,Krishna,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Paintings,Paper,,Water Colour,Not Known,Indian,C.18th century CE,NA,India,"Kangra,  Himachal Pradesh","Pahari,Kangra, Himachal Pradesh","Pahari,Kangra, Himachal Pradesh",NA,Kangra,Kangra,NA,C.18th century  CE,NA,,,On the mount. Picture shows at the top Krishna playing on his flute among his companions.  Cowherd boys and peacocks are seen dancing. Below on the right side two ladies are engaged in worship of goddess Durga in a temple. A man (Narada?) holds a Vina on his shoulder and is pointing out towards Krishna. Two ladies are seen greeting him with folded hands.  A lady is lying on the ground on the right side while the other on left rests her head in the lap of a third one. One lady is fanning her while another holds her fleet.,On the mount. Picture shows at the top Krishna playing on his flute among his companions.  Cowherd boys and peacocks are seen dancing. Below on the right side two ladies are engaged in worship of goddess Durga in a temple. A man (Narada?) holds a Vina on his shoulder and is pointing out towards Krishna. Two ladies are seen greeting him with folded hands.  A lady is lying on the ground on the right side while the other on left rests her head in the lap of a third one. One lady is fanning her while another holds her fleet.,,,,33.02 x 23.495 cm,,NA,Men in dhoti. Ladies in Ghanghra-choli & odhni.,NA,
Manu and Satrupa,AM-MIN-35,Manu and Satrupa,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Not Known,C.18th Century CE,NA,India,"Kangra, Himachal Pradesh","Kangra, Himachal Pradesh",NA,NA,Kangra,Kangra,NA,C.18th Century CE,No,,,Story of Manu-Shatrupa has been depicted in a narrative scene.,"Picture shows on the left top corner Manu and Satrupa are 
standing at the door of their hermitage. Vishnu, Brahma and 
Shiva are standing in front of them to offer boons pleased with 
their austerity. On the top right Manu and his wife are 
touching god's feet lying prostrate on the ground. Vishnu, 
along with his Maya, is trying two lift them up. Below on the 
left corner again Manu and his wife are seen standing before 
the god with folded hands. On the right side monkeys and birds 
are shown inside a blossomed grove.",,,,13.02 x 23.50 cm,,NA,"Krishna wearing dhoti, pitambar & mukut; ladies wearing lehanga & the others in dhoti.",NA,
Siroh Rao Shri Mokam Singh Portrait,AM-MIN-36,Siroh Rao Shri Mokam Singh Portrait,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,Water Colour,Water Colour,Not Known,Indian,C.18th century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthani,NA,C.18th century  CE,NA,,,"Picture shows a Rajput king. He rests both of his hands on the handle of his sword the script on the back of painting is ""Siroh Rao Shri Mokam Singh ji ka"".","Picture shows a Rajput king. He rests both of his hands on the handle of his sword the script on the back of painting is ""Siroh Rao Shri Mokam Singh ji ka"".",,,,13.97 x 10.795 cm,,NA,Bagalbandi & pagree.,NA,
Study of a Bitch,AM-MIN-37,Study of a Bitch,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.18th century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Mughal,Mughal,NA,C.18th century  CE,NA,,,Painting showing a brown bitch painted against emerald background.,Painting showing a brown bitch painted against emerald background.,,,,13.97 x 10.795 cm,,NA,NA,NA,
Seated Old Man,AM-MIN-38,Seated Old Man,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Color on Paper,Not known,Indian,C.18th Century CE,NA,India,Rajasthan,Rajasthan,NA,NA,Mughal,Mughal,NA,C.18th Century CE,NA,,,Picture shows a seated old man .,"Picture shows an old man seated by the side of a ridge of rock and 
lonely tree. He holds a book or box in one of his hands. Another 
hand is rests on his cheek.",,,,11.43 x 7.62 cm,,NA,Wearing Coat,NA,
Rajput King,AM-MIN-39,Rajput King,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,Paper,Water Colour,Not Known,Indian,C.1810 CE,NA,India,"Gayapur, Rajasthan","Gayapur,Rajasthan","Gayapur,Rajasthan",NA,Rajasthani,Rajasthani,NA,C.1810  CE,NA,,,Picture shows a Rajput king wearing flowing Achakan. He holds a sword in his outstretched left hand. In his right hand he holds a rosary of beads. A halo is seen around his head.,Picture shows a Rajput king wearing flowing Achakan. He holds a sword in his outstretched left hand. In his right hand he holds a rosary of beads. A halo is seen around his head.,,,,19.05 x 13.97 cm,,NA,Rajput king in Flowing Achakan.,NA,
Rao Dada ji,AM-MIN-4,Rao Dada ji,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Paintings,Paper,Paper,Water Colour,Not Known,Indian,C.18th century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthani,NA,C.18th century  CE,NA,,,Picture shows a Raja holding a long spear in his hand and riding on a horse. At the back side is Written Rao Dada ji.,Picture shows a Raja holding a long spear in his hand and riding on a horse. At the back side is Written Rao Dada ji.,,,,25.4 x 20.955 cm,,NA,Man in bagalbandi & pagree.,NA,
Lady,AM-MIN-40,Lady,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not known,Indian,C.18th Century CE,NA,India,"Jaipur, Rajasthan","Jaipur, Rajasthan","Jaipur, Rajasthan",NA,Rajasthani,Rajasthani,NA,C.18th Century CE,NA,,,Picture shows a lady wearing a lahanga of red colour.,"Picture shows a lady wearing a lahanga of red colour. Her right 
hand is outstretched forward. One of her feet is so raised 
as to indicate a dancing posture. It is made inside a mustered 
yellow border and a yellow background.",,,,12.7 x 6.985 cm,,NA,"Ghanghra, salwar and odhni",NA,
A Lady in a Grove,AM-MIN-41,A Lady in a Grove,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour on Paper,Not known,Indian,C.18th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthani,NA,C.18th Century CE,NA,,,Picture shows a lady standing between a pair of trees.,"Picture shows a lady standing in between two trees by the side of 
pond filled with lotuses. She holds a lotus flower in her right 
hand while a garland of white flowers in the left. A line of 
mountains with trees and flowers is seen in the background.",,,,7 3/4 inch x 5 inch (19.685 x 12.7 cm),,NA,"Ghanghra, choli and odhni",NA,
Hunting Scene,AM-MIN-44,Hunting Scene,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not known,Indian,C.18th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Mughal,Mughal,NA,C.18th Century CE,NA,,,Picture shows a hunting scene beside a river.,"Picture shows a hunting scene beside a river. On the right top a royal 
personage is seen on an elephant with his retinue behind. A lion and 
lioness are seated together inside a bush. On either bank of the river 
persons equipped with guns and other weapons are aiming at the pair of 
lions.",,,,40.005 x 19.05 cm,,NA,"All are wearing dhoti-kurta, kamarbandh and pagree.",NA,
Camel Fight,AM-MIN-47,Camel Fight,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.16th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Mughal,Mughal,NA,C.16th Century CE,NA,,,Picture shows two camels fighting.,"Picture shows two camels fighting on the desert. There is a blank 
hasia and decorated border around the scene.",,,,25.4 x 19.05 cm,,NA,NA,NA,
Mughal King,AM-MIN-48,Mughal King,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.18-19th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Mughal,Mughal,NA,C.18-19th Century CE,NA,,,Picture of a Mughal king.,"Picture of a Mughal king holding a flower in his right hand of his 
hands. Damaged. King is wearing gherdaar jama and chudidaar paijama.",,,,21.59 x 16.51 cm,,NA,"Jama, pajama and pagree",NA,
King with Attendants,AM-MIN-49,King with Attendants,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.18th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Rajasthani,Rajasthani,NA,C.18th Century CE,NA,,,Picture shows a king is accompanied by four lady attendants.,"Picture shows a king standing near the stairs leading towards the 
entrance of a house. The king is accompanied by four lady 
attendants. The Raja holds a flower in his right hand. One lady 
who is going ahead, holding a sword. Behind the King two ladies 
holds Hukka and flywhisk made of peacock feathers. The third lady 
is shown holding some indistinct weapon on her shoulder.",,,,28.575 x 20.32 cm,,NA,"Man in jama and mukut. Ladies in ghanghara, choli and odhani.",NA,
Hunting Scene,AM-MIN-5,Hunting Scene,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.18th Century CE,NA,India,"Bundi, Rajasthan","Bundi, Rajasthan","Bundi, Rajasthan",NA,Rajasthani,Rajasthani,NA,C.18th Century CE,NA,,,"Picture shows two princesses are riding on a white and black 
coloured horse respectively and attacking on a lion.","Picture shows two princesses are riding on a white and black 
coloured horse respectively and attacking on a lion. Two other 
ladies on the ground are also seen engaged in shooting the lion with 
bows and arrows from either of the sides.",,,,23.495 x 31.75 cm,,NA,"Ladies in jama, pajama and pagree.",NA,
Shiva-Parvati,AM-MIN-5.34,Shiva-Parvati,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Paintings,Paper,,Water Colour,Not Known,Indian,,NA,India,"Tanjor, South India","Tanjor, South India","Tanjor, South India",NA,Tanjor,Tanjor,NA,C.19th Century CE,,,,"""Tanjor  style painting on cloth mounted on paper and wooden 
base. The painting depicts Shiva with Parvati seated in his lap, 
both mounted on the platform placed on the bade of Nandi( 
bull). Six worshipper with three on each side 
are shown in various acts of scenes. Nandi is walking towards 
right side of the painting with his neck turned and he is 
looking backward. Flying winged-apsaras are seen pouring flowers 
from the top from a pot. Prabha mandal on the back and umbrella 
on the top is also seen. Painting also depicts a decorated 
border and portion on lower side is damaged. Golden plated 
decoration on various places. 

""","""Tanjor  style painting on cloth mounted on paper and wooden 
base. The painting depicts Shiva with Parvati seated in his lap, 
both mounted on the a platform placed on the bade of Nandi( 
bull). Six worshipper with three each side 
are shown in various acts of scenes. Nandi is walking towards 
right side of the painting with his neck turned and he is 
looking backword. Flying winged-apsaras are seen pouring flowers 
from the top from a pot. Prabha mandal on the back and umbrella 
on the top is also seen. Painting also depicts a decorated 
border and portion on lower side is damaged. Golden plated 
decoration on various places. 

""",,,,""" 63.5 x 50 cms. """,,NA,,NA,
Seated Sadhu,AM-MIN-50,Seated Sadhu,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Paintings,Paper,Paper,Water Colour,Not Known,Indian,C.18th century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Mughal,Mughal,NA,C.18th century  CE,NA,,,Picture shows a Sadhu seated outside his hut. A wooden plate is seen kept in front of him. Some fruits are also kept before the sage. There are seven ladies four standing and three seated near by him.  The Sadhu is pointing out something on the wooden plate with one of his fingers.  Lady seated before the Sadhu is also seen touching the wooden plate.,Picture shows a Sadhu seated outside his hut. A wooden plate is seen kept in front of him. Some fruits are also kept before the sage. There are seven ladies four standing and three seated near by him.  The Sadhu is pointing out something on the wooden plate with one of his fingers.  Lady seated before the Sadhu is also seen touching the wooden plate.,,,,20.955 x 13.97 cm,,NA,Ladies in Ghanghra-choli & odhni. Men in dhoti.,NA,
Shahjahan,AM-MIN-51,Shahjahan,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not known,Indian,C.18th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Mughal,Mughal,NA,C.18th Century CE,NA,,,Small painting showing the bust of emperor Shahjahan.,"Small painting showing the bust of emperor Shahjahan. He built 
Tajmahal in the memory of his beloved wife 'Mumtaj Begham'.",,,,6.35 x 4.445 cm,,NA,Bagalbandi and pagree.,NA,
Auranzeb Seated on Tthrone,AM-MIN-52,Auranzeb Seated on Tthrone,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.18th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Mughal,Mughal,NA,C.18th Century CE,NA,,,Picture shows Aurangzeb seated on a throne and reading Kuran.,"Picture shows Mughal emperor Aurangzeb seated on a throne and 
reading Kuran. Behind him stands a flywhisk bearer.",,,,17.78 x 12.065 cm,,NA,"Men in jama, kamarband and mukut.",NA,
Lady Smoking Hukka,AM-MIN-53,Lady Smoking Hukka,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Paintings,Paper,,Water Colour,Not Known,Indian,C.18th century CE,NA,India,"Kangra,  Himachal Pradesh","Kangra, Himachal Pradesh","Kangra, Himachal Pradesh",NA,Kangra,Kangra,NA,C.18th century  CE,NA,,,Picture shows a lady coming out of a palace smoking a hukka which is held by a lady attendant from behind.  The lady is pointing out towards five white birds flying in the sky.  A banana tree is seen near her upraised hand.,Picture shows a lady coming out of a palace smoking a hukka which is held by a lady attendant from behind.  The lady is pointing out towards five white birds flying in the sky. A banana tree is seen near her upraised hand.,,,,20.32 x 13.335 cm,,NA,Ladies in Ghanghra-choli & odhni.,NA,
Shiva,AM-MIN-54,Dancing Shiva,"Allahabad Museum, Allahabad",Early Sculpture,Miniature Painting,Paper,,Water Colour,Not known,Indian,C.18th Century CE,NA,India,"Kangra,  Himachal Pradesh","Kangra, Himachal Pradesh","Kangra, Himachal Pradesh",NA,Kangra,Kangra,NA,C.18th Century CE,NA,,,Dancing Shiva has been depicted in the painting.,"Picture shows Shiva dancing in accompaniment with musical 
instruments played on by his Ganas, Parvati, Ganesh and Kartikeya.",,,,19.05 x 24.765 cm,,NA,"Men are in langote, bagalbandi, dhoti, kurta, chonga and mukut",NA,
Mughal Princess,AM-MIN-55,Mughal Princess,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour on Paper,Unknown,Indian,C.17th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Mughal,Mughal,NA,C.17th Century CE,,,,Picture shows a Mughal princess.,"Picture shows a Mughal princess standing holding a wine cup in her 
right hand. The other hand is outstretched.",,,,50.8 x 35.56 cm,,NA,"Ghangra, choli and odhni",NA,
Man Playing Esraj,AM-MIN-56,Man Playing Esraj,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.17th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Mughal,Mughal,NA,C.17th Century CE,NA,,,Picture shows a man seated on a rock and playing an esraj.,"Picture shows a man seated on a rock and playing an esraj. Below 
few horses having very thin necks are seen. Other animals also are 
seen on the high rocks. Irani influence is appearing in the 
painting.",,,,22.86 x 17.78 cm,,NA,"Man in jama, kamarband and mukut.",NA,
Portrait of Shahjahan,AM-MIN-57,Portrait of Shahjahan,"Allahabad Museum, Allahabad",Miniature Painting,Miniature Painting,Paper,,Water Colour,Not Known,Indian,C.18th-19th Century CE,NA,India,Rajasthan,Rajasthan,Rajasthan,NA,Mughal,Mughal,NA,C.18th-19th Century CE,NA,,,"Picture shows the portrait of Shahjahan holding a sword in his right 
hand and a flower in the left one.","Picture shows the portrait of Shahjahan holding a sword in his right 
hand and a flower in the left one. A halo is shown on the back of 
his head. Border of the painting is highly decorated.",,,,22.225 x 15.875 cm,,NA,"Man in bagalbandi, kamarband, jama and mukut.",NA,
